id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,main_artist
7E2C5rBLpCKwQlhJPVFBRS,You’re Mines Still (feat. Drake),82,226220,1,"['Yung Bleu', 'Drake']","['3KNIG74xSTc3dj0TRy7pGX', '3TVXtAsR1Inumwj472S9r4']",10/15/20,0.575,0.609,5,-4.88,0,0.121,0.317,0,0.105,0.33899999999999997,83.00399999999999,4,Drake
5ZKG94fnjiuMH5yrC5S9lS,One Dance,59,173973,0,"['Drake', 'WizKid', 'Kyla']","['3TVXtAsR1Inumwj472S9r4', '3tVQdUvClmAT7URs9V3rsp', '77DAFfvm3O9zT5dIoG0eIO']",5/6/16,0.7879999999999999,0.605,1,-5.586,1,0.0578,0.00899,0.00275,0.318,0.42700000000000005,103.94,4,Drake
4X5f3vT8MRuXF68pfjNte5,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",77,233787,1,"['A$AP Rocky', 'Drake', '2 Chainz', 'Kendrick Lamar']","['13ubrt8QOOCPljQ2FL1Kca', '3TVXtAsR1Inumwj472S9r4', '17lzZA2AlOHwCwFALHttmp', '2YZyLoL8N0Wb9xBt1NhZWg']",2013,0.853,0.693,1,-6.87,1,0.275,0.0239,0,0.11,0.662,95.96700000000001,4,Drake
047fCsbO4NdmwCBn8pcUXl,Marvins Room,74,347227,1,['Drake'],['3TVXtAsR1Inumwj472S9r4'],11/15/11,0.49200000000000005,0.26,9,-17.341,0,0.0921,0.6459999999999999,0.00178,0.0705,0.312,111.51899999999999,5,Drake
5NnZ4JJxWiqqhYNu3rwmFj,Misty Mountain Hop - Remaster,53,278907,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],11/8/71,0.47,0.8059999999999999,2,-7.165,1,0.0369,0.379,0.0624,0.86,0.787,132.359,4,Zeppelin
2X0wYy6mbVh2GpFEYIvCp6,The Rain Song - 1990 Remaster,45,458667,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],3/28/73,0.276,0.298,0,-11.965,1,0.0264,0.684,0.0573,0.156,0.21600000000000003,76.56,4,Zeppelin
3t8pnImpBpOwxdtYBpKvA9,The Motion,54,241000,1,['Drake'],['3TVXtAsR1Inumwj472S9r4'],1/1/13,0.6759999999999999,0.7170000000000001,11,-8.219,0,0.0874,0.29,0.000368,0.0974,0.5579999999999999,157.628,4,Drake
5HlLgmHL8qafp46jMtlxZJ,Custard Pie - Remaster,39,255702,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],2/24/75,0.45299999999999996,0.738,9,-8.16,1,0.0347,0.498,0.00488,0.0526,0.778,182.233,4,Zeppelin
0B5OTb36fzLayn6XQHg5A1,Scholarships,61,209288,1,"['Drake', 'Future']","['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']",9/20/15,0.7390000000000001,0.41600000000000004,0,-9.319,0,0.285,0.0966,1.27e-05,0.1,0.259,109.16799999999999,4,Drake
3i25w2HOWoafnTIiWJCL71,Fool in the Rain - Remaster,46,370920,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],8/15/79,0.52,0.912,0,-7.512,1,0.0487,0.124,0.00151,0.239,0.7020000000000001,131.403,4,Zeppelin
